epoch,lr,train_loss,train_ssim,train_msssim,train_psnr,val_loss,val_ssim,val_msssim,val_psnr
67,5.88e-05,0.1207,0.8231,0.9174,28.35,0.1050,0.8408,0.9092,31.59
68,5.77e-05,0.1237,0.8156,0.9161,28.79,0.1037,0.8420,0.9123,31.55
69,5.67e-05,0.1167,0.8293,0.9210,29.00,0.1046,0.8421,0.9118,31.20
70,5.57e-05,0.1146,0.8275,0.9198,29.39,0.1043,0.8417,0.9111,30.57
71,5.46e-05,0.1172,0.8307,0.9206,28.77,0.1027,0.8443,0.9136,31.16
72,5.36e-05,0.1184,0.8291,0.9207,29.13,0.1045,0.8416,0.9105,32.36
73,5.26e-05,0.1194,0.8221,0.9190,29.08,0.1020,0.8429,0.9134,32.02
74,5.15e-05,0.1178,0.8267,0.9216,29.02,0.1043,0.8326,0.9126,29.67
75,5.05e-05,0.1156,0.8285,0.9219,29.29,0.1037,0.8397,0.9115,31.50
76,4.95e-05,0.1190,0.8252,0.9200,28.95,0.1022,0.8440,0.9133,31.22
77,4.84e-05,0.1165,0.8273,0.9226,28.98,0.1031,0.8438,0.9132,30.63
78,4.74e-05,0.1160,0.8286,0.9237,28.94,0.1034,0.8439,0.9116,31.16
79,4.64e-05,0.1143,0.8323,0.9241,29.38,0.1019,0.8443,0.9130,32.11
80,4.53e-05,0.1114,0.8372,0.9264,29.62,0.1009,0.8458,0.9147,32.65
81,4.43e-05,0.1123,0.8333,0.9233,29.87,0.1008,0.8459,0.9144,32.42
82,4.33e-05,0.1168,0.8279,0.9222,29.10,0.1005,0.8463,0.9149,32.19
83,4.22e-05,0.1140,0.8318,0.9264,29.23,0.1006,0.8452,0.9141,32.39
84,4.12e-05,0.1127,0.8353,0.9264,29.65,0.1013,0.8475,0.9149,30.83
85,4.02e-05,0.1094,0.8385,0.9281,29.76,0.1005,0.8457,0.9147,32.46
86,3.92e-05,0.1118,0.8357,0.9271,29.42,0.0996,0.8474,0.9156,32.49
87,3.82e-05,0.1114,0.8353,0.9268,29.84,0.1000,0.8473,0.9154,32.61
88,3.72e-05,0.1128,0.8317,0.9248,29.62,0.0994,0.8459,0.9161,32.37
89,3.62e-05,0.1113,0.8347,0.9273,29.80,0.1010,0.8444,0.9142,31.94
90,3.52e-05,0.1067,0.8388,0.9306,29.82,0.0989,0.8491,0.9169,32.41
91,3.42e-05,0.1116,0.8359,0.9271,29.52,0.0991,0.8478,0.9165,32.89
92,3.32e-05,0.1108,0.8371,0.9271,29.64,0.0988,0.8479,0.9164,32.77
93,3.23e-05,0.1087,0.8419,0.9294,29.70,0.0985,0.8480,0.9172,32.38
94,3.13e-05,0.1076,0.8436,0.9303,30.03,0.0989,0.8479,0.9164,32.73
95,3.04e-05,0.1072,0.8436,0.9306,29.95,0.0989,0.8474,0.9166,32.09
96,2.94e-05,0.1104,0.8376,0.9268,30.09,0.0986,0.8490,0.9171,32.58
97,2.85e-05,0.1082,0.8404,0.9271,30.25,0.0994,0.8467,0.9154,32.73
98,2.76e-05,0.1073,0.8420,0.9301,29.50,0.0988,0.8487,0.9166,32.34
99,2.67e-05,0.1042,0.8479,0.9330,30.21,0.0988,0.8469,0.9158,33.02
100,2.57e-05,0.1085,0.8399,0.9304,30.14,0.0984,0.8485,0.9173,32.67
101,2.49e-05,0.1021,0.8486,0.9337,30.34,0.0980,0.8483,0.9175,32.91
102,2.40e-05,0.1063,0.8413,0.9307,30.27,0.0977,0.8486,0.9175,33.15
103,2.31e-05,0.1070,0.8436,0.9329,29.64,0.0980,0.8486,0.9171,32.76
104,2.22e-05,0.1028,0.8491,0.9348,30.40,0.0968,0.8495,0.9186,33.09
105,2.14e-05,0.1003,0.8521,0.9368,30.42,0.0977,0.8483,0.9175,32.84
106,2.06e-05,0.1045,0.8446,0.9334,30.12,0.0968,0.8503,0.9187,33.17
107,1.98e-05,0.1015,0.8473,0.9338,30.51,0.0973,0.8497,0.9175,33.20
108,1.89e-05,0.1040,0.8451,0.9326,30.50,0.0975,0.8489,0.9182,32.86
109,1.82e-05,0.1051,0.8461,0.9345,30.05,0.0970,0.8509,0.9184,33.07
110,1.74e-05,0.1008,0.8513,0.9376,30.39,0.0968,0.8502,0.9189,32.91
111,1.66e-05,0.1041,0.8429,0.9330,30.15,0.0965,0.8506,0.9189,33.25
